type_id,color_id,name,hex,quantity,body_width_mm,body_depth_mm,body_height_mm,native_stl
BR-02x03-H096,c2,Black,#000000,1,15.8,23.8,9.6,../cad/parts/BR-02x03-H096.stl
BR-02x03-H096,c3,Hot pink,#F5547C,6,15.8,23.8,9.6,../cad/parts/BR-02x03-H096.stl
BR-02x04-H096,c0,Purple,#5E43B7,60,15.8,31.8,9.6,../cad/parts/BR-02x04-H096.stl
BR-02x04-H096,c3,Hot pink,#F5547C,9,15.8,31.8,9.6,../cad/parts/BR-02x04-H096.stl
BR-02x06-H096,c0,Purple,#5E43B7,33,15.8,47.8,9.6,../cad/parts/BR-02x06-H096.stl
BR-02x06-H096,c3,Hot pink,#F5547C,1,15.8,47.8,9.6,../cad/parts/BR-02x06-H096.stl
BR-02x08-H096,c0,Purple,#5E43B7,50,15.8,63.8,9.6,../cad/parts/BR-02x08-H096.stl
BR-02x08-H096,c3,Hot pink,#F5547C,3,15.8,63.8,9.6,../cad/parts/BR-02x08-H096.stl
BR-04x04-H096,c0,Purple,#5E43B7,3,31.8,31.8,9.6,../cad/parts/BR-04x04-H096.stl
BR-04x06-H096,c0,Purple,#5E43B7,25,31.8,47.8,9.6,../cad/parts/BR-04x06-H096.stl
CT-03C-H096-c1d6f05dcc,c0,Purple,#5E43B7,21,15.8,15.8,9.6,../cad/parts/CT-03C-H096-c1d6f05dcc.stl
CT-03C-H096-c1d6f05dcc,c3,Hot pink,#F5547C,8,15.8,15.8,9.6,../cad/parts/CT-03C-H096-c1d6f05dcc.stl
CT-04C-H096-15e33fd0c4,c0,Purple,#5E43B7,4,15.8,23.8,9.6,../cad/parts/CT-04C-H096-15e33fd0c4.stl
CT-04C-H096-15e33fd0c4,c3,Hot pink,#F5547C,2,15.8,23.8,9.6,../cad/parts/CT-04C-H096-15e33fd0c4.stl
CT-04C-H096-8e241044a8,c0,Purple,#5E43B7,4,15.8,23.8,9.6,../cad/parts/CT-04C-H096-8e241044a8.stl
CT-04C-H096-a6bced9f60,c0,Purple,#5E43B7,1,15.8,23.8,9.6,../cad/parts/CT-04C-H096-a6bced9f60.stl
CT-04C-H096-bec36f7bdc,c0,Purple,#5E43B7,1,15.8,23.8,9.6,../cad/parts/CT-04C-H096-bec36f7bdc.stl
CT-05C-H096-73f76289ae,c0,Purple,#5E43B7,1,15.8,31.8,9.6,../cad/parts/CT-05C-H096-73f76289ae.stl
CT-05C-H096-7ede4fdf04,c0,Purple,#5E43B7,4,15.8,23.8,9.6,../cad/parts/CT-05C-H096-7ede4fdf04.stl
CT-05C-H096-7ede4fdf04,c3,Hot pink,#F5547C,7,15.8,23.8,9.6,../cad/parts/CT-05C-H096-7ede4fdf04.stl
CT-05C-H096-a75f0f97b1,c1,Jade white,#FFFFFF,1,23.8,23.8,9.6,../cad/parts/CT-05C-H096-a75f0f97b1.stl
CT-05C-H096-c763985811,c0,Purple,#5E43B7,2,15.8,23.8,9.6,../cad/parts/CT-05C-H096-c763985811.stl
CT-05C-H096-c763985811,c3,Hot pink,#F5547C,7,15.8,23.8,9.6,../cad/parts/CT-05C-H096-c763985811.stl
CT-06C-H096-1f09483782,c0,Purple,#5E43B7,1,23.8,23.8,9.6,../cad/parts/CT-06C-H096-1f09483782.stl
CT-06C-H096-31129ef203,c0,Purple,#5E43B7,1,15.8,31.8,9.6,../cad/parts/CT-06C-H096-31129ef203.stl
CT-06C-H096-834a107884,c3,Hot pink,#F5547C,1,23.8,23.8,9.6,../cad/parts/CT-06C-H096-834a107884.stl
CT-07C-H096-19b018b623,c3,Hot pink,#F5547C,2,15.8,31.8,9.6,../cad/parts/CT-07C-H096-19b018b623.stl
