type_id,color,hex,quantity,cell_count,shape,native_stl
r2-p4-7c-626511f53153,Purple,#5E43B7,17,7,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-7c-626511f53153.stl
r2-p4-7c-65e5d24ed0e7,Purple,#5E43B7,2,7,"[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-7c-65e5d24ed0e7.stl
r2-p4-7c-8761b4a005e0,Purple,#5E43B7,1,7,"[[0,0],[0,1],[1,0],[1,1],[2,0],[3,0],[4,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-7c-8761b4a005e0.stl
r2-p4-7c-8ea643f6a651,Purple,#5E43B7,16,7,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-7c-8ea643f6a651.stl
r2-p4-7c-c2b59e8f631f,Purple,#5E43B7,1,7,"[[0,0],[0,1],[1,0],[1,1],[2,1],[3,1],[4,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-7c-c2b59e8f631f.stl
r2-p4-7c-f8326032ee44,Purple,#5E43B7,2,7,"[[0,0],[0,1],[0,2],[1,0],[1,1],[2,0],[3,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-7c-f8326032ee44.stl
r2-p4-8c-00ac0d8b7718,Purple,#5E43B7,1,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-00ac0d8b7718.stl
r2-p4-8c-186a9f84f098,Purple,#5E43B7,8426,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-186a9f84f098.stl
r2-p4-8c-3a35d0f7049f,Purple,#5E43B7,4,8,"[[0,0],[0,1],[0,2],[1,0],[1,1],[1,2],[2,0],[2,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-3a35d0f7049f.stl
r2-p4-8c-3eebab327568,Purple,#5E43B7,1,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-3eebab327568.stl
r2-p4-8c-3f8e863fcd29,Purple,#5E43B7,1,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[4,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-3f8e863fcd29.stl
