part_id,type_id,color,hex,layer,assembly_step,x_mm,y_mm,z_mm,rotation_z_deg,insertion_axis,support_class,required_aids,baseline_part_ids,status
MON-F-00117,r2-p4-8c-186a9f84f098,Purple,#5E43B7,2,77,-14.0,-18.0,4.8,0,-Z,SEATED_NOMINAL,,MON-F-00117,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00118,r2-p4-8c-186a9f84f098,Purple,#5E43B7,2,78,-14.0,-10.0,4.8,0,-Z,SEATED_NOMINAL,,MON-F-00118,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00119,r2-p4-8c-186a9f84f098,Purple,#5E43B7,2,79,-14.0,-2.0,4.8,0,-Z,SEATED_NOMINAL,,MON-F-00119,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00120,r2-p4-8c-186a9f84f098,Purple,#5E43B7,2,80,-14.0,6.0,4.8,0,-Z,SEATED_NOMINAL,,MON-F-00120,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00121,r2-p4-8c-186a9f84f098,Purple,#5E43B7,2,81,-14.0,14.0,4.8,0,-Z,SEATED_NOMINAL,,MON-F-00121,PROTOTYPE_NOT_FIT_VALIDATED
MON-R2-00019,r2-p4-16c-4a708adbfba5,Purple,#5E43B7,2,82,-14.0,26.0,4.8,0,-Z,SEATED_NOMINAL,,MON-F-00122;MON-F-00123,PROTOTYPE_NOT_FIT_VALIDATED
MON-R2-00020,r2-p4-16c-4a708adbfba5,Purple,#5E43B7,2,83,2.0,-46.0,4.8,0,-Z,SEATED_NOMINAL,,MON-F-00125;MON-F-00126,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00127,r2-p4-8c-186a9f84f098,Purple,#5E43B7,2,84,2.0,-34.0,4.8,0,-Z,SEATED_NOMINAL,,MON-F-00127,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00128,r2-p4-8c-186a9f84f098,Purple,#5E43B7,2,85,2.0,-26.0,4.8,0,-Z,SEATED_NOMINAL,,MON-F-00128,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00129,r2-p4-8c-186a9f84f098,Purple,#5E43B7,2,86,2.0,-18.0,4.8,0,-Z,SEATED_NOMINAL,,MON-F-00129,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00130,r2-p4-8c-186a9f84f098,Purple,#5E43B7,2,87,2.0,-10.0,4.8,0,-Z,SEATED_NOMINAL,,MON-F-00130,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00131,r2-p4-8c-186a9f84f098,Purple,#5E43B7,2,88,2.0,-2.0,4.8,0,-Z,SEATED_NOMINAL,,MON-F-00131,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00132,r2-p4-8c-186a9f84f098,Purple,#5E43B7,2,89,2.0,6.0,4.8,0,-Z,SEATED_NOMINAL,,MON-F-00132,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00133,r2-p4-8c-186a9f84f098,Purple,#5E43B7,2,90,2.0,14.0,4.8,0,-Z,SEATED_NOMINAL,,MON-F-00133,PROTOTYPE_NOT_FIT_VALIDATED
MON-R2-00021,r2-p4-16c-4a708adbfba5,Purple,#5E43B7,2,91,2.0,26.0,4.8,0,-Z,SEATED_NOMINAL,,MON-F-00134;MON-F-00135,PROTOTYPE_NOT_FIT_VALIDATED
MON-R2-00022,r2-p4-13c-c48f51e4895a,Purple,#5E43B7,2,92,18.0,-46.0,4.8,270,-Z,SEATED_NOMINAL,,MON-F-00136;MON-F-00137;MON-F-00148,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00138,r2-p4-8c-186a9f84f098,Purple,#5E43B7,2,93,18.0,-34.0,4.8,0,-Z,SEATED_NOMINAL,,MON-F-00138,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00139,r2-p4-8c-186a9f84f098,Purple,#5E43B7,2,94,18.0,-26.0,4.8,0,-Z,SEATED_NOMINAL,,MON-F-00139,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00140,r2-p4-8c-186a9f84f098,Purple,#5E43B7,2,95,18.0,-18.0,4.8,0,-Z,SEATED_NOMINAL,,MON-F-00140,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00141,r2-p4-8c-186a9f84f098,Purple,#5E43B7,2,96,18.0,-10.0,4.8,0,-Z,SEATED_NOMINAL,,MON-F-00141,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00142,r2-p4-8c-186a9f84f098,Purple,#5E43B7,2,97,18.0,-2.0,4.8,0,-Z,SEATED_NOMINAL,,MON-F-00142,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00143,r2-p4-8c-186a9f84f098,Purple,#5E43B7,2,98,18.0,6.0,4.8,0,-Z,SEATED_NOMINAL,,MON-F-00143,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00144,r2-p4-8c-186a9f84f098,Purple,#5E43B7,2,99,18.0,14.0,4.8,0,-Z,SEATED_NOMINAL,,MON-F-00144,PROTOTYPE_NOT_FIT_VALIDATED
MON-R2-00023,r2-p4-14c-eca17b34912e,Purple,#5E43B7,2,100,18.0,26.0,4.8,90,-Z,SEATED_NOMINAL,,MON-F-00145;MON-F-00146;MON-F-00147,PROTOTYPE_NOT_FIT_VALIDATED
MON-R2-00024,r2-p4-12c-643e89839393,Purple,#5E43B7,2,101,34.0,-38.0,4.8,270,-Z,SEATED_NOMINAL,,MON-F-00149;MON-F-00150;MON-F-00159,PROTOTYPE_NOT_FIT_VALIDATED
MON-R2-00025,r2-p4-10c-703d228b64da,Purple,#5E43B7,2,102,36.0,-26.0,4.8,0,-Z,SEATED_NOMINAL,,MON-F-00151;MON-F-00161,PROTOTYPE_NOT_FIT_VALIDATED
MON-R2-00026,r2-p4-12c-a2f28e04cb09,Purple,#5E43B7,2,103,38.0,-18.0,4.8,0,-Z,SEATED_NOMINAL,,MON-F-00152;MON-F-00162,PROTOTYPE_NOT_FIT_VALIDATED
MON-R2-00027,r2-p4-12c-a2f28e04cb09,Purple,#5E43B7,2,104,38.0,-10.0,4.8,0,-Z,SEATED_NOMINAL,,MON-F-00153;MON-F-00163,PROTOTYPE_NOT_FIT_VALIDATED
MON-R2-00028,r2-p4-12c-a2f28e04cb09,Purple,#5E43B7,2,105,38.0,-2.0,4.8,0,-Z,SEATED_NOMINAL,,MON-F-00154;MON-F-00164,PROTOTYPE_NOT_FIT_VALIDATED
MON-R2-00029,r2-p4-11c-1acae6a2bfb1,Purple,#5E43B7,2,106,36.0,8.0,4.8,0,-Z,SEATED_NOMINAL,,MON-F-00155;MON-F-00160;MON-F-00165,PROTOTYPE_NOT_FIT_VALIDATED
MON-R2-00030,r2-p4-9c-8008113072c1,Purple,#5E43B7,2,107,32.0,18.0,4.8,90,-Z,SEATED_NOMINAL,,MON-F-00156;MON-F-00157;MON-F-00158,PROTOTYPE_NOT_FIT_VALIDATED
MON-R2-00031,r2-p4-12c-1aa056caa409,Purple,#5E43B7,3,108,-52.0,-14.0,7.2,270,-Z,SEATED_NOMINAL,,MON-F-00201;MON-F-00202,PROTOTYPE_NOT_FIT_VALIDATED
MON-R2-00032,r2-p4-7c-626511f53153,Purple,#5E43B7,3,109,-50.0,-30.0,7.2,270,-Z,SEATED_NOMINAL,,MON-F-00185;MON-F-00198,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00216,r2-p4-8c-186a9f84f098,Purple,#5E43B7,3,110,-50.0,2.0,7.2,270,-Z,SEATED_NOMINAL,,MON-F-00216,PROTOTYPE_NOT_FIT_VALIDATED
MON-R2-00033,r2-p4-9c-a91387e26c85,Purple,#5E43B7,3,111,-44.0,18.0,7.2,90,-Z,SEATED_NOMINAL,,MON-F-00230;MON-F-00231;MON-F-00244,PROTOTYPE_NOT_FIT_VALIDATED
MON-R2-00034,r2-p4-9c-a91387e26c85,Purple,#5E43B7,3,112,-38.0,-44.0,7.2,180,-Z,SEATED_NOMINAL,,MON-F-00179;MON-F-00181;MON-F-00183,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00186,r2-p4-8c-186a9f84f098,Purple,#5E43B7,3,113,-42.0,-30.0,7.2,270,-Z,SEATED_NOMINAL,,MON-F-00186,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00203,r2-p4-8c-186a9f84f098,Purple,#5E43B7,3,114,-42.0,-14.0,7.2,270,-Z,SEATED_NOMINAL,,MON-F-00203,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00217,r2-p4-8c-186a9f84f098,Purple,#5E43B7,3,115,-42.0,2.0,7.2,270,-Z,SEATED_NOMINAL,,MON-F-00217,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00187,r2-p4-8c-186a9f84f098,Purple,#5E43B7,3,116,-34.0,-30.0,7.2,270,-Z,SEATED_NOMINAL,,MON-F-00187,PROTOTYPE_NOT_FIT_VALIDATED
