part_id,type_id,color,hex,layer,assembly_step,x_mm,y_mm,z_mm,rotation_z_deg,insertion_axis,support_class,required_aids,baseline_part_ids,status
DUC-F-00084,r2-p4-8c-186a9f84f098,Yellow,#F4EE2A,1,70,10.0,22.0,2.4,270,-Z,SEATED_NOMINAL,,DUC-F-00084,PROTOTYPE_NOT_FIT_VALIDATED
DUC-R2-00006,r2-p4-7c-626511f53153,Yellow,#F4EE2A,1,71,10.0,38.0,2.4,90,-Z,SEATED_NOMINAL,,DUC-F-00094;DUC-F-00098,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00048,r2-p4-4c-b02791f0c425,Yellow,#F4EE2A,1,72,16.0,-26.0,2.4,270,-Z,SEATED_NOMINAL,,DUC-F-00048,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00062,r2-p4-8c-186a9f84f098,Yellow,#F4EE2A,1,73,18.0,-10.0,2.4,270,-Z,SEATED_NOMINAL,,DUC-F-00062,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00074,r2-p4-8c-186a9f84f098,Yellow,#F4EE2A,1,74,18.0,6.0,2.4,270,-Z,SEATED_NOMINAL,,DUC-F-00074,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00085,r2-p4-8c-186a9f84f098,Yellow,#F4EE2A,1,75,18.0,22.0,2.4,270,-Z,SEATED_NOMINAL,,DUC-F-00085,PROTOTYPE_NOT_FIT_VALIDATED
DUC-R2-00007,r2-p4-10c-f0568e82ff56,Yellow,#F4EE2A,1,76,22.0,36.0,2.4,0,-Z,SEATED_NOMINAL,,DUC-F-00095;DUC-F-00096,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00050,r2-p4-3c-b982b6d67e98,Yellow,#F4EE2A,1,77,20.0,-24.0,2.4,270,-Z,SEATED_NOMINAL,,DUC-F-00050,PROTOTYPE_NOT_FIT_VALIDATED
DUC-R2-00008,r2-p4-5c-88f68dc9ab4e,Yellow,#F4EE2A,1,78,26.0,-24.0,2.4,270,-Z,SEATED_NOMINAL,,DUC-F-00051;DUC-F-00053,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00063,r2-p4-8c-186a9f84f098,Yellow,#F4EE2A,1,79,26.0,-10.0,2.4,270,-Z,SEATED_NOMINAL,,DUC-F-00063,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00075,r2-p4-8c-186a9f84f098,Yellow,#F4EE2A,1,80,26.0,6.0,2.4,270,-Z,SEATED_NOMINAL,,DUC-F-00075,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00086,r2-p4-8c-186a9f84f098,Yellow,#F4EE2A,1,81,26.0,22.0,2.4,270,-Z,SEATED_NOMINAL,,DUC-F-00086,PROTOTYPE_NOT_FIT_VALIDATED
DUC-R2-00009,r2-p4-8c-3f8e863fcd29,Yellow,#F4EE2A,1,82,34.0,-12.0,2.4,270,-Z,SEATED_NOMINAL,,DUC-F-00055;DUC-F-00064;DUC-F-00066,PROTOTYPE_NOT_FIT_VALIDATED
DUC-R2-00010,r2-p4-11c-021340aaea91,Yellow,#F4EE2A,1,83,36.0,6.0,2.4,90,-Z,SEATED_NOMINAL,,DUC-F-00076;DUC-F-00077,PROTOTYPE_NOT_FIT_VALIDATED
