type_id,color,hex,quantity,cell_count,shape,native_stl
r2-p4-7c-8ea643f6a651,Yellow,#F4EE2A,16,7,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-7c-8ea643f6a651.stl
r2-p4-7c-ba15d2e5d5b7,Yellow,#F4EE2A,1,7,"[[0,0],[1,0],[1,1],[2,0],[3,0],[4,0],[5,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-7c-ba15d2e5d5b7.stl
r2-p4-7c-bcfc797dca10,Yellow,#F4EE2A,1,7,"[[0,0],[0,1],[1,1],[2,1],[3,1],[4,1],[5,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-7c-bcfc797dca10.stl
r2-p4-7c-c2b59e8f631f,Yellow,#F4EE2A,2,7,"[[0,0],[0,1],[1,0],[1,1],[2,1],[3,1],[4,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-7c-c2b59e8f631f.stl
r2-p4-8c-00ac0d8b7718,Yellow,#F4EE2A,3,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-00ac0d8b7718.stl
r2-p4-8c-186a9f84f098,Yellow,#F4EE2A,6692,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-186a9f84f098.stl
r2-p4-8c-19025d71a671,Yellow,#F4EE2A,1,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-19025d71a671.stl
r2-p4-8c-34e67117d5ae,Yellow,#F4EE2A,1,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-34e67117d5ae.stl
r2-p4-8c-3f8e863fcd29,Yellow,#F4EE2A,1,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[4,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-3f8e863fcd29.stl
r2-p4-8c-40b14f7aecf8,Yellow,#F4EE2A,1,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-40b14f7aecf8.stl
r2-p4-8c-42985608ed37,Yellow,#F4EE2A,1,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-42985608ed37.stl
r2-p4-8c-43aaf840d311,Yellow,#F4EE2A,1,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-43aaf840d311.stl
r2-p4-8c-448a0059b24e,Yellow,#F4EE2A,1,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-448a0059b24e.stl
r2-p4-8c-4a2a4beab3d1,Yellow,#F4EE2A,7,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-4a2a4beab3d1.stl
r2-p4-8c-59bf9b543de2,Yellow,#F4EE2A,3,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-59bf9b543de2.stl
r2-p4-8c-63e5a91ed811,Yellow,#F4EE2A,1,8,"[[0,0],[1,0],[2,0],[2,1],[3,1],[4,1],[5,1],[6,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-63e5a91ed811.stl
r2-p4-8c-7182b0f5249d,Yellow,#F4EE2A,23,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-7182b0f5249d.stl
r2-p4-8c-71b1cabb21f1,Yellow,#F4EE2A,3,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-71b1cabb21f1.stl
r2-p4-8c-8a9c9abd0046,Yellow,#F4EE2A,1,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-8a9c9abd0046.stl
r2-p4-8c-94630c6a9620,Yellow,#F4EE2A,2,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-94630c6a9620.stl
r2-p4-8c-99a216810560,Yellow,#F4EE2A,2,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-99a216810560.stl
