part_id,type_id,color,hex,layer,assembly_step,x_mm,y_mm,z_mm,rotation_z_deg,insertion_axis,support_class,required_aids,baseline_part_ids,status
COP-C-00059,r2-p8-8c-4a40eb007127,Indigo purple,#482960,1,43,-44.0,-20.0,4.8,270,-Z,SEATED_NOMINAL,,COP-C-00059,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00071,r2-p8-8c-4a40eb007127,Indigo purple,#482960,1,44,-44.0,12.0,4.8,270,-Z,SEATED_NOMINAL,,COP-C-00071,PROTOTYPE_NOT_FIT_VALIDATED
COP-R2-00005,r2-p8-7c-e08acc44fe96,Indigo purple,#482960,1,45,-28.0,-84.0,4.8,270,-Z,SEATED_NOMINAL,,COP-C-00039;COP-C-00044,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00049,r2-p8-8c-4a40eb007127,Indigo purple,#482960,1,46,-28.0,-52.0,4.8,270,-Z,SEATED_NOMINAL,,COP-C-00049,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00060,r2-p8-8c-4a40eb007127,Indigo purple,#482960,1,47,-28.0,-20.0,4.8,270,-Z,SEATED_NOMINAL,,COP-C-00060,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00072,r2-p8-8c-4a40eb007127,Indigo purple,#482960,1,48,-28.0,12.0,4.8,270,-Z,SEATED_NOMINAL,,COP-C-00072,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00040,r2-p8-8c-4a40eb007127,Indigo purple,#482960,1,49,-12.0,-84.0,4.8,270,-Z,SEATED_NOMINAL,,COP-C-00040,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00050,r2-p8-8c-4a40eb007127,Indigo purple,#482960,1,50,-12.0,-52.0,4.8,270,-Z,SEATED_NOMINAL,,COP-C-00050,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00061,r2-p8-8c-4a40eb007127,Indigo purple,#482960,1,51,-12.0,-20.0,4.8,270,-Z,SEATED_NOMINAL,,COP-C-00061,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00073,r2-p8-8c-4a40eb007127,Indigo purple,#482960,1,52,-12.0,12.0,4.8,270,-Z,SEATED_NOMINAL,,COP-C-00073,PROTOTYPE_NOT_FIT_VALIDATED
COP-R2-00006,r2-p8-7c-e08acc44fe96,Indigo purple,#482960,1,53,-12.0,44.0,4.8,90,-Z,SEATED_NOMINAL,,COP-C-00082;COP-C-00091,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00041,r2-p8-8c-4a40eb007127,Indigo purple,#482960,1,54,4.0,-84.0,4.8,270,-Z,SEATED_NOMINAL,,COP-C-00041,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00051,r2-p8-8c-4a40eb007127,Indigo purple,#482960,1,55,4.0,-52.0,4.8,270,-Z,SEATED_NOMINAL,,COP-C-00051,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00062,r2-p8-8c-4a40eb007127,Indigo purple,#482960,1,56,4.0,-20.0,4.8,270,-Z,SEATED_NOMINAL,,COP-C-00062,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00074,r2-p8-8c-4a40eb007127,Indigo purple,#482960,1,57,4.0,12.0,4.8,270,-Z,SEATED_NOMINAL,,COP-C-00074,PROTOTYPE_NOT_FIT_VALIDATED
