type_id,color,hex,quantity,cell_count,shape,native_stl
r2-p8-6c-f8970603e784,Indigo purple,#482960,105,6,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-6c-f8970603e784.stl
r2-p8-7c-15d5e1d693b5,Indigo purple,#482960,3,7,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-7c-15d5e1d693b5.stl
r2-p8-7c-8690e21868de,Indigo purple,#482960,1,7,"[[0,0],[0,1],[0,2],[1,0],[1,1],[1,2],[2,2]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-7c-8690e21868de.stl
r2-p8-7c-b423a80ccb63,Indigo purple,#482960,1,7,"[[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[4,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-7c-b423a80ccb63.stl
r2-p8-7c-e08acc44fe96,Indigo purple,#482960,8,7,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-7c-e08acc44fe96.stl
r2-p8-8c-17f43b37588b,Indigo purple,#482960,1,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-8c-17f43b37588b.stl
r2-p8-8c-1ff9361f726d,Indigo purple,#482960,1,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-8c-1ff9361f726d.stl
r2-p8-8c-29f265f34af2,Indigo purple,#482960,1,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-8c-29f265f34af2.stl
r2-p8-8c-2acfe6ad20d6,Indigo purple,#482960,6,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-8c-2acfe6ad20d6.stl
r2-p8-8c-38394a3bc31e,Indigo purple,#482960,2,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-8c-38394a3bc31e.stl
r2-p8-8c-3dfa11e0c502,Indigo purple,#482960,1,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-8c-3dfa11e0c502.stl
r2-p8-8c-4a40eb007127,Indigo purple,#482960,1469,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-8c-4a40eb007127.stl
r2-p8-8c-8658e0826e12,Indigo purple,#482960,14,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-8c-8658e0826e12.stl
r2-p8-8c-a54e60e92e96,Indigo purple,#482960,1,8,"[[0,0],[0,1],[0,2],[1,0],[1,1],[1,2],[2,0],[2,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-8c-a54e60e92e96.stl
r2-p8-8c-a71fc00cb615,Indigo purple,#482960,14,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-8c-a71fc00cb615.stl
r2-p8-8c-ac64c788c893,Indigo purple,#482960,1,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-8c-ac64c788c893.stl
r2-p8-8c-b7dbf4533996,Indigo purple,#482960,2,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-8c-b7dbf4533996.stl
r2-p8-8c-c8392e3e35e8,Indigo purple,#482960,1,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-8c-c8392e3e35e8.stl
r2-p8-8c-ce45285ea511,Indigo purple,#482960,1,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-8c-ce45285ea511.stl
r2-p8-8c-ec0482d27ec1,Indigo purple,#482960,1,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-8c-ec0482d27ec1.stl
r2-p8-8c-f0260d4138f5,Indigo purple,#482960,1,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-8c-f0260d4138f5.stl
r2-p8-8c-f0e45b42caae,Indigo purple,#482960,15,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-8c-f0e45b42caae.stl
r2-p8-8c-f24dc95ce20f,Indigo purple,#482960,1,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-8c-f24dc95ce20f.stl
r2-p8-8c-fb96fd69c1c5,Indigo purple,#482960,1,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-8c-fb96fd69c1c5.stl
r2-p8-9c-18bfcea1c94d,Indigo purple,#482960,1,9,"[[0,0],[0,1],[0,2],[1,0],[1,1],[1,2],[2,1],[2,2],[3,2]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-9c-18bfcea1c94d.stl
r2-p8-9c-678c5c2d2e15,Indigo purple,#482960,4,9,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1],[4,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-9c-678c5c2d2e15.stl
r2-p8-9c-9bfcb20dc416,Indigo purple,#482960,2,9,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1],[4,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-9c-9bfcb20dc416.stl
